,Astrocyte,Endothelial,Inhibitory,Microglia,OD,Excitatory,Others_cellf
1377.1239951_-2607.857618,0.002672796,0.011117249,1.10E-05,0.003756737,0.092016,0.52418774,0.3662385
1377.1239951_-2707.857618,0.005148511,0.007649901,2.25E-05,0.001712023,0.060156588,0.6101631,0.3151474
1377.1239951_-2807.857618,0.054483518,0.07425377,0.0001605,0.002857587,0.09807051,0.40818164,0.3619925
1377.1239951_-2907.857618,0.003385188,0.004365727,1.12E-05,0.003157537,0.09719247,0.530283,0.36160493
1377.1239951_-3007.857618,0.005228203,0.004518998,1.02E-05,0.003194035,0.09779372,0.49723023,0.3920246
1377.1239951_-3107.857618,0.07275478,0.008895981,1.23E-05,0.006916142,0.3830058,0.26537824,0.26303682
1477.1239951_-1607.857618,0.005133438,0.025018489,4.38E-06,0.013316019,0.10933506,0.58765304,0.2595396
1477.1239951_-1707.857618,0.12641484,0.083453506,0.000119984,0.002515381,0.095937826,0.4348463,0.25671217
1477.1239951_-1807.857618,0.015306366,0.026101284,1.27E-05,0.007915668,0.12170174,0.5571626,0.27179962
1477.1239951_-1907.857618,0.009366142,0.0445328,3.64E-05,0.002601451,0.12615092,0.48762584,0.32968646
1477.1239951_-2007.857618,0.004513965,0.022394003,6.59E-06,0.004912315,0.0774072,0.5934282,0.29733777
1477.1239951_-2107.857618,0.028578788,0.009502689,3.65E-05,0.003105921,0.067095086,0.6475252,0.24415582
1477.1239951_-2207.857618,0.004272122,0.037491094,2.07E-05,0.009530393,0.101014204,0.54962295,0.2980486
1477.1239951_-2307.857618,0.005007248,0.008042842,6.65E-05,0.001832994,0.103483416,0.5539214,0.3276456
1477.1239951_-2407.857618,0.006958264,0.034150984,1.07E-05,0.004061573,0.08875591,0.6026886,0.26337403
1477.1239951_-2507.857618,0.002622889,0.030150084,1.06E-05,0.009496843,0.11375574,0.4605268,0.38343707
1477.1239951_-2607.857618,0.015774304,0.04032193,5.30E-05,0.006188666,0.075108185,0.48875582,0.373798
1477.1239951_-2707.857618,0.011731944,0.04930885,3.36E-05,0.007521963,0.09893719,0.50683004,0.32563648
1477.1239951_-2807.857618,0.00144617,0.005316332,9.75E-06,0.00256606,0.10480041,0.56588364,0.31997767
1477.1239951_-2907.857618,0.012204505,0.028250815,2.15E-05,0.002193636,0.10547155,0.48757297,0.364285
1477.1239951_-3007.857618,0.011513983,0.020387959,2.06E-05,0.006681217,0.15016969,0.33284575,0.4783809
1477.1239951_-3107.857618,0.1514822,0.0990798,7.89E-05,0.020865832,0.32717532,0.11364989,0.28766805
1577.1239951_-1607.857618,0.007481604,0.030071616,1.04E-06,0.005563792,0.07048341,0.67962134,0.20677723
1577.1239951_-1707.857618,0.026143758,0.034572892,7.61E-05,0.000427297,0.03673002,0.71168995,0.19036004
1577.1239951_-1807.857618,0.005059956,0.005762065,1.02E-05,0.010798312,0.09490771,0.5281491,0.35531268
1577.1239951_-1907.857618,0.001586522,0.014436513,5.91E-06,0.009171279,0.11090316,0.48377827,0.3801183
1577.1239951_-2007.857618,0.001831216,0.005946242,8.31E-06,0.00284926,0.10119543,0.5236272,0.3645423
1577.1239951_-2107.857618,0.000476012,0.003411656,9.37E-06,0.002641302,0.14772661,0.523807,0.32192802
1577.1239951_-2207.857618,0.001725155,0.006394043,6.75E-06,0.003770054,0.11028984,0.5541959,0.32361832
1577.1239951_-2307.857618,0.005635896,0.010568398,1.73E-05,0.003793613,0.12121689,0.45216998,0.40659794
1577.1239951_-2407.857618,0.04710069,0.04494876,5.55E-05,0.003600978,0.08041483,0.49003476,0.33384442
1577.1239951_-2507.857618,0.048620593,0.050805025,3.40E-05,0.003870768,0.057934627,0.5251134,0.3136216
1577.1239951_-2607.857618,0.003781177,0.002284644,1.74E-05,0.000639459,0.06299797,0.6215663,0.308713
1577.1239951_-2707.857618,0.004277904,0.045785267,8.94E-06,0.015639102,0.123329714,0.4426447,0.3683144
1577.1239951_-2807.857618,0.0449174,0.013410543,1.88E-05,0.004386187,0.21492757,0.32596418,0.39637542
1577.1239951_-2907.857618,0.01027279,0.047742303,1.86E-05,0.008698026,0.16972998,0.4346661,0.32887217
1577.1239951_-3007.857618,0.04517355,0.11079266,4.81E-05,0.027109751,0.3002644,0.18457043,0.3320412
1577.1239951_-3107.857618,0.4720076,0.04991521,5.56E-05,0.007456407,0.21809073,0.08516922,0.1673052
1677.1239951_-1607.857618,0.011214429,0.022052959,1.41E-05,0.011418288,0.103917986,0.59511757,0.2562647
1677.1239951_-1707.857618,0.05432542,0.006887395,6.71E-07,0.001646029,0.07966059,0.69340074,0.16407914
1677.1239951_-1807.857618,0.3677521,0.08955094,7.97E-06,0.010678897,0.04442116,0.3361394,0.15144949
1677.1239951_-1907.857618,0.4670244,0.19840623,0.000128865,0.004514217,0.05667466,0.15975465,0.11349705
1677.1239951_-2007.857618,0.010888858,0.01663495,1.42E-05,0.014563407,0.20970045,0.26049998,0.48769814
1677.1239951_-2107.857618,0.015562689,0.048278075,7.32E-06,0.005707618,0.043499917,0.65465605,0.2322883
1677.1239951_-2207.857618,0.00237797,0.004636876,4.11E-06,0.001382288,0.08934651,0.5987445,0.3035078
1677.1239951_-2307.857618,0.001430849,0.013939211,6.65E-06,0.003619828,0.10056327,0.5323711,0.3480691
1677.1239951_-2407.857618,0.001933005,0.021669744,7.23E-06,0.00503361,0.10651249,0.52705336,0.33779058
1677.1239951_-2507.857618,0.003863185,0.004665934,4.10E-05,0.001292615,0.043024007,0.62559724,0.321516
1677.1239951_-2607.857618,0.003404014,0.015496575,1.06E-05,0.005452007,0.10172655,0.511067,0.36284325
1677.1239951_-2707.857618,0.005690514,0.027414598,1.80E-05,0.011167574,0.08022921,0.4731513,0.4023288
1677.1239951_-2807.857618,0.005674777,0.024518743,1.35E-05,0.000987493,0.13852152,0.48710707,0.34317693
1677.1239951_-2907.857618,0.001544184,0.004539453,1.52E-05,0.000717657,0.14285345,0.54586405,0.30446592
1677.1239951_-3007.857618,0.042350706,0.05702998,6.09E-05,0.006901436,0.30246934,0.3021562,0.28903142
1677.1239951_-3107.857618,0.14233494,0.08767486,0.000399151,0.02081247,0.37582684,0.08767294,0.28527874
1777.1239951_-1607.857618,0.005272559,0.003118411,2.39E-06,0.001151335,0.048263438,0.79083675,0.15135506
1777.1239951_-1707.857618,0.06346621,0.06246181,2.54E-05,0.009913532,0.11115372,0.5492266,0.20375276
1777.1239951_-1807.857618,0.0070566,0.017094497,6.78E-06,0.008837489,0.10444302,0.5720929,0.29046872
1777.1239951_-1907.857618,0.012496733,0.006067819,1.97E-05,0.002712612,0.042360056,0.6076893,0.32865372
1777.1239951_-2007.857618,0.008530916,0.009182113,2.24E-05,0.002507832,0.06886405,0.5892044,0.32168823
1777.1239951_-2107.857618,0.002806423,0.008419997,4.80E-06,0.002468712,0.08166188,0.6152777,0.28936055
1777.1239951_-2207.857618,0.001427846,0.009064363,1.17E-05,0.007003564,0.11053545,0.47360724,0.39834982
1777.1239951_-2307.857618,0.017588219,0.018570466,5.37E-05,0.002103658,0.13852958,0.46594298,0.35721135
1777.1239951_-2407.857618,0.000984432,0.004834849,1.43E-05,0.003021265,0.08552291,0.5065361,0.3990861
1777.1239951_-2507.857618,0.003753691,0.014523044,1.02E-05,0.004324115,0.09466072,0.513132,0.3695962
1777.1239951_-2607.857618,0.001962505,0.004824691,1.27E-05,0.004332588,0.13309427,0.4784726,0.3773006
1777.1239951_-2707.857618,0.002038057,0.006458517,1.44E-05,0.004566515,0.099866465,0.5003529,0.38670307
1777.1239951_-2807.857618,0.005804166,0.007206792,1.45E-05,0.006675622,0.093933955,0.49237648,0.39398852
1777.1239951_-2907.857618,0.006698592,0.007100619,1.38E-05,0.004228211,0.048727136,0.5444634,0.3887683
1777.1239951_-3007.857618,0.005352122,0.042367786,2.20E-05,0.007358144,0.40437442,0.22243534,0.3180902
1777.1239951_-3107.857618,0.5306638,0.015781336,7.65E-05,0.00179068,0.17211582,0.123184256,0.15638757
1877.1239951_-1607.857618,0.14986317,0.057108838,2.20E-05,0.004957703,0.055529818,0.5497648,0.18275364
1877.1239951_-1707.857618,0.017265331,0.027032796,1.36E-05,0.007589195,0.13345592,0.5841612,0.23048188
1877.1239951_-1807.857618,0.002120297,0.016815294,6.44E-06,0.006661446,0.0918402,0.54881805,0.3337382
1877.1239951_-1907.857618,0.00201114,0.014086247,8.83E-06,0.005774651,0.14742208,0.3871959,0.4435012
1877.1239951_-2007.857618,0.010650614,0.009979133,5.94E-06,0.009655729,0.10506685,0.50683326,0.35780844
1877.1239951_-2107.857618,0.003537966,0.014740823,1.06E-05,0.004120816,0.119802445,0.549786,0.30800137
1877.1239951_-2207.857618,0.001640749,0.007081263,1.40E-05,0.006186205,0.07999732,0.62585145,0.27922904
1877.1239951_-2307.857618,0.002337291,0.026231024,1.45E-05,0.004223811,0.07041052,0.6205666,0.2762163
1877.1239951_-2407.857618,0.001105471,0.016344184,1.24E-05,0.007631728,0.09713962,0.55070186,0.3270648
1877.1239951_-2507.857618,0.000831277,0.003379106,1.30E-05,0.00255264,0.11563704,0.58391404,0.2936729
1877.1239951_-2607.857618,0.004965548,0.010553027,1.01E-05,0.007252743,0.091003686,0.49788705,0.38832787
1877.1239951_-2707.857618,0.001975664,0.018803716,1.47E-05,0.005722636,0.14446953,0.41773137,0.4112824
1877.1239951_-2807.857618,0.002982206,0.014868856,1.41E-05,0.003372823,0.11565717,0.4774222,0.38568273
1877.1239951_-2907.857618,0.01690742,0.038385388,4.23E-05,0.002854548,0.10409706,0.44623247,0.3914808
1877.1239951_-3007.857618,0.002767965,0.006040401,6.60E-06,0.006676583,0.10996652,0.44911084,0.425431
1877.1239951_-3107.857618,0.21184668,0.15714088,0.000257629,0.0316177,0.22137392,0.12105602,0.2567072
1977.1239951_-1607.857618,0.019441295,0.036302462,4.93E-06,0.008594965,0.11822354,0.5350972,0.2823357
1977.1239951_-1707.857618,0.001630587,0.007180826,8.86E-06,0.005024338,0.10306211,0.5681574,0.31493598
1977.1239951_-1807.857618,0.002932611,0.006575421,1.27E-05,0.006251482,0.06581255,0.57800996,0.34040534
1977.1239951_-1907.857618,0.002941325,0.012483875,8.33E-06,0.010969492,0.14485753,0.43129876,0.3974406
1977.1239951_-2007.857618,0.016429078,0.03158713,2.34E-05,0.0056714,0.077189945,0.5609399,0.30815917
1977.1239951_-2107.857618,0.04068548,0.06252859,0.000115302,0.001004966,0.067495205,0.57391304,0.25425738
1977.1239951_-2207.857618,0.001432466,0.007097576,1.00E-05,0.008939887,0.13679618,0.5009863,0.34473765
1977.1239951_-2307.857618,0.009024872,0.002477117,5.07E-05,0.001099119,0.06529729,0.6077917,0.3142592
1977.1239951_-2407.857618,0.00072988,0.006165581,1.37E-05,0.002156836,0.12502831,0.51248443,0.3534211
1977.1239951_-2507.857618,0.002229794,0.033399124,1.09E-05,0.012839466,0.17445295,0.39734638,0.3797214
1977.1239951_-2607.857618,0.009924087,0.032160345,6.29E-06,0.01416039,0.102524,0.49952295,0.34170195
1977.1239951_-2707.857618,0.003301428,0.006422555,4.78E-06,0.001896612,0.06908089,0.6134705,0.30582327
1977.1239951_-2807.857618,0.008945805,0.018641673,2.92E-05,0.002231227,0.08559518,0.5304778,0.35407913
1977.1239951_-2907.857618,0.02133386,0.002876509,3.68E-05,0.001718619,0.062471043,0.53969914,0.37186396
1977.1239951_-3007.857618,0.010611076,0.048225977,1.25E-05,0.012273377,0.118939266,0.40569603,0.40424168
1977.1239951_-3107.857618,0.33300835,0.11892348,0.00028245,0.009159433,0.20602915,0.09255437,0.2400428
2077.1239951_-1607.857618,0.08688784,0.03729246,1.57E-05,0.004111,0.1993111,0.34363618,0.32874566
2077.1239951_-1707.857618,0.025014747,0.050523326,2.27E-05,0.012783255,0.19686359,0.38966256,0.32512984
2077.1239951_-1807.857618,0.008544749,0.0488544,1.86E-05,0.02208118,0.21341918,0.30999547,0.39708635
2077.1239951_-1907.857618,0.003194663,0.00560605,2.64E-05,0.006336229,0.12461762,0.48226017,0.37795877
2077.1239951_-2007.857618,0.003829054,0.03058463,9.22E-06,0.013254087,0.13120374,0.50034285,0.3207764
2077.1239951_-2107.857618,0.00317279,0.009943949,7.52E-06,0.003232186,0.07404671,0.6238767,0.2857201
2077.1239951_-2207.857618,0.004296141,0.01090183,2.05E-05,0.008036854,0.056172885,0.603967,0.3166048
2077.1239951_-2307.857618,0.000998888,0.002398516,1.51E-05,0.002540375,0.07517728,0.63898003,0.27988985
2077.1239951_-2407.857618,0.001817369,0.019191144,7.15E-06,0.003277452,0.2015122,0.4110389,0.36315575
2077.1239951_-2507.857618,0.007278267,0.03983121,1.64E-05,0.007759879,0.07046938,0.5355882,0.33905664
2077.1239951_-2607.857618,0.000560114,0.014793206,8.95E-06,0.006004827,0.22358793,0.35959604,0.39544892
2077.1239951_-2707.857618,0.001037631,0.002034405,7.51E-06,0.002726354,0.07401451,0.6228395,0.2973401
2077.1239951_-2807.857618,0.007475429,0.026441297,9.65E-06,0.007317544,0.23498656,0.31889507,0.40487447
2077.1239951_-2907.857618,0.002591041,0.01782272,1.89E-05,0.009780996,0.100683354,0.41233104,0.45677203
2077.1239951_-3007.857618,0.065512344,0.045534596,6.41E-05,0.004761259,0.08434577,0.37530163,0.42448032
2077.1239951_-3107.857618,0.07897424,0.00734604,1.66E-05,0.008171078,0.102677055,0.5608447,0.24197032
2177.1239951_-1607.857618,0.002511032,0.024854371,2.20E-05,0.004979665,0.2072484,0.3664452,0.39393935
2177.1239951_-1707.857618,0.00524873,0.009489758,4.72E-05,0.005092826,0.30898917,0.27787253,0.39325985
2177.1239951_-1807.857618,0.07396683,0.027347764,0.00029254,0.01592909,0.3457198,0.19402128,0.34272265
2177.1239951_-1907.857618,0.023249432,0.0539536,2.21E-05,0.008766651,0.22754969,0.3071633,0.37929523
2177.1239951_-2007.857618,0.003580138,0.027101742,1.04E-05,0.005130757,0.087088384,0.5835106,0.29357788
2177.1239951_-2107.857618,0.00273496,0.0011615,3.40E-05,0.000884435,0.04531192,0.6989781,0.25089508
2177.1239951_-2207.857618,0.004719238,0.022667779,3.26E-05,0.01484175,0.17798355,0.42211497,0.35764015
2177.1239951_-2307.857618,0.007944442,0.014830318,0.000140958,0.001944452,0.13111989,0.49011877,0.3539012
2177.1239951_-2407.857618,0.004880837,0.020181455,1.42E-05,0.007036923,0.13525282,0.5252406,0.3073932
2177.1239951_-2507.857618,0.003132602,0.027893214,4.17E-05,0.004642273,0.23718451,0.31084797,0.41625768
2177.1239951_-2607.857618,0.012196541,0.006700841,2.44E-05,0.007443047,0.05668923,0.6358709,0.2810751
2177.1239951_-2707.857618,0.00166827,0.00339056,2.78E-05,0.00108711,0.13447748,0.51848334,0.34086543
2177.1239951_-2807.857618,0.001966425,0.001252098,1.72E-05,0.001915486,0.06152666,0.5955619,0.3377602
2177.1239951_-2907.857618,0.001927763,0.004687266,1.30E-05,0.010023003,0.0802432,0.50537217,0.39773363
2177.1239951_-3007.857618,0.002056263,0.00608108,8.35E-06,0.003926759,0.12419536,0.4876165,0.37611562
2177.1239951_-3107.857618,0.007821691,0.03567601,2.08E-05,0.013387071,0.09655313,0.4578842,0.38865706
2277.1239951_-1607.857618,0.00244814,0.009589366,2.09E-05,0.012198443,0.14185981,0.48451164,0.3493717
2277.1239951_-1707.857618,0.002408459,0.017850488,1.36E-05,0.009579166,0.16177714,0.35858217,0.449789
2277.1239951_-1807.857618,0.040840052,0.001053214,0.000118965,0.00884948,0.34558374,0.3608158,0.24273872
2277.1239951_-1907.857618,0.028165296,0.03509428,8.83E-05,0.001750047,0.30984643,0.21582907,0.40922663
2277.1239951_-2007.857618,0.004868653,0.027177215,6.78E-06,0.003611851,0.06259465,0.6610922,0.24064869
2277.1239951_-2107.857618,0.002116526,0.017620124,1.42E-05,0.006336702,0.19855821,0.4156349,0.35971943
2277.1239951_-2207.857618,0.001494282,0.005669355,9.77E-06,0.004596056,0.0756126,0.6146079,0.29801005
2277.1239951_-2307.857618,0.001652111,0.014575037,1.44E-05,0.005051233,0.15389334,0.46329564,0.36151817
2277.1239951_-2407.857618,0.001677807,0.009068553,8.42E-06,0.004779941,0.16466765,0.47778556,0.342012
2277.1239951_-2507.857618,0.000778158,0.020837577,8.86E-06,0.007171002,0.2436344,0.3250607,0.4025093
2277.1239951_-2607.857618,0.0544248,0.07455235,7.28E-05,0.016860267,0.06933025,0.42266837,0.36209115
2277.1239951_-2707.857618,0.03479853,0.024756202,0.000121223,0.003651513,0.09008926,0.4537608,0.39282236
2277.1239951_-2807.857618,0.001058288,0.004312697,2.95E-05,0.004855503,0.097839646,0.4885503,0.40335405
2277.1239951_-2907.857618,0.000716056,0.00083409,9.75E-05,0.00084791,0.13228849,0.57790107,0.28731483
2277.1239951_-3007.857618,0.001302984,0.001845441,9.16E-06,0.004873649,0.09163151,0.58196175,0.31837547
2277.1239951_-3107.857618,0.008314697,0.036215354,1.01E-05,0.012656507,0.17623556,0.37383106,0.3927367
2377.1239951_-1607.857618,0.18305306,0.024766134,0.000919525,0.000189113,0.16176237,0.35928336,0.27002648
2377.1239951_-1707.857618,0.005361006,0.020769956,2.18E-05,0.014218702,0.21055724,0.35908183,0.38998955
2377.1239951_-1807.857618,0.002484814,0.02025642,8.60E-06,0.011796269,0.2479602,0.29510656,0.42238715
2377.1239951_-1907.857618,0.001972217,0.016193688,1.16E-05,0.006587245,0.15080763,0.47582996,0.34859768
2377.1239951_-2007.857618,0.00225227,0.007345747,5.36E-06,0.003340021,0.070612915,0.6811426,0.23530103
2377.1239951_-2107.857618,0.004243759,0.000876356,7.32E-05,0.000866081,0.06353697,0.67556745,0.25483614
2377.1239951_-2207.857618,0.002001109,0.013350739,6.74E-06,0.005921023,0.1024997,0.5554265,0.32079422
2377.1239951_-2307.857618,0.001478717,0.004577086,1.99E-05,0.002722227,0.10602789,0.5825829,0.3025913
2377.1239951_-2407.857618,0.000540725,0.00062359,5.26E-05,0.000553273,0.11932185,0.5970491,0.2818588
2377.1239951_-2507.857618,0.001479068,0.003062089,4.31E-05,0.002375163,0.14769034,0.47721958,0.3681307
2377.1239951_-2607.857618,0.000515486,0.014575858,1.24E-05,0.003938621,0.1869873,0.44411558,0.34985474
2377.1239951_-2707.857618,0.004554878,0.032464467,2.67E-05,0.014655097,0.15087846,0.4341543,0.3632661
2377.1239951_-2807.857618,0.001252134,0.004406593,2.49E-05,0.000252104,0.14073284,0.56793946,0.28539202
2377.1239951_-2907.857618,0.001380897,0.016231775,4.30E-06,0.008290739,0.1452332,0.520906,0.3079531
2377.1239951_-3007.857618,0.012976482,0.03293592,1.88E-05,0.004800221,0.14468361,0.3642821,0.44030282
2377.1239951_-3107.857618,0.19733676,0.16523428,8.86E-05,0.01926535,0.15880063,0.22146863,0.23780571
877.1239951_-1607.857618,0.006180356,0.004914278,7.10E-05,0.00738354,0.2239445,0.40838557,0.34912077
877.1239951_-1707.857618,0.000774105,0.013088948,6.82E-06,0.008300971,0.2056958,0.35162526,0.42050812
877.1239951_-1807.857618,0.002440606,0.023575392,4.75E-06,0.006588936,0.13674524,0.4818036,0.34884158
877.1239951_-1907.857618,0.01042823,0.01127278,5.32E-05,0.003700021,0.06143606,0.614602,0.29850772
877.1239951_-2007.857618,0.003145417,0.006382437,4.09E-05,0.002510267,0.042888004,0.6788166,0.26621643
877.1239951_-2107.857618,0.002105564,0.020273695,7.49E-06,0.006686301,0.109446086,0.5742061,0.2872747
877.1239951_-2207.857618,0.001042954,0.006079654,1.73E-05,0.009914342,0.13483791,0.4724249,0.3756829
877.1239951_-2307.857618,0.002609629,0.02549268,1.20E-05,0.004510623,0.16783652,0.47210446,0.32743403
877.1239951_-2407.857618,0.001746914,0.015664963,2.00E-05,0.002386325,0.14775428,0.4653788,0.36704868
877.1239951_-2507.857618,0.003672614,0.002959313,1.16E-05,0.00308663,0.16477501,0.52873015,0.2967648
877.1239951_-2607.857618,0.001331126,0.012665258,1.49E-05,0.00798467,0.11315191,0.45085326,0.41399884
877.1239951_-2707.857618,0.005133452,0.035463292,1.86E-05,0.010569827,0.21075027,0.35250652,0.38555807
877.1239951_-2807.857618,0.04238676,0.025577899,7.82E-05,0.005032747,0.19182478,0.41684043,0.3182592
877.1239951_-2907.857618,0.000757018,0.001876527,4.97E-05,0.000798881,0.103400275,0.5824113,0.31070623
877.1239951_-3007.857618,0.04950079,0.05223241,5.39E-05,0.01245607,0.12757483,0.3984451,0.35973695
877.1239951_-3107.857618,0.022608597,0.002269444,0.003174098,0.001437018,0.02311497,0.48571113,0.4616848
977.1239951_-1607.857618,0.004333319,0.032212485,4.88E-05,0.010502647,0.23312676,0.30215868,0.41761726
977.1239951_-1707.857618,0.03903431,0.045048837,9.32E-05,0.010239663,0.35691482,0.22140191,0.32726726
977.1239951_-1807.857618,0.13067557,0.055668086,6.61E-05,0.010315011,0.35275283,0.18924859,0.2612737
977.1239951_-1907.857618,0.015240096,0.05195969,7.16E-06,0.010529588,0.09198169,0.4997694,0.33051243
977.1239951_-2007.857618,0.002076539,0.003152561,8.37E-06,0.001139036,0.04821354,0.69318324,0.25222668
977.1239951_-2107.857618,0.000907742,0.003447182,1.67E-05,0.003504417,0.09585323,0.5842542,0.31201652
977.1239951_-2207.857618,0.002270658,0.022490516,2.13E-05,0.009581417,0.19339195,0.3994006,0.37284347
977.1239951_-2307.857618,0.002110154,0.01952673,1.62E-05,0.003491818,0.09297976,0.6164048,0.2654706
977.1239951_-2407.857618,0.001019257,0.011627586,1.26E-05,0.005771586,0.14162281,0.48857573,0.35137042
977.1239951_-2507.857618,0.00049037,0.002663949,1.95E-05,0.001164585,0.07222577,0.6279465,0.2954893
977.1239951_-2607.857618,0.001088017,0.009058708,2.02E-05,0.007046875,0.13246705,0.4560259,0.39429316
977.1239951_-2707.857618,0.00490987,0.020553239,1.30E-05,0.006949705,0.1030961,0.45954067,0.40493745
977.1239951_-2807.857618,0.002483977,0.02512014,1.67E-05,0.009391076,0.14775646,0.40201232,0.4132194
977.1239951_-2907.857618,0.000993143,0.00718726,1.18E-05,0.002070287,0.13762578,0.5210403,0.33107138
977.1239951_-3007.857618,0.14480688,0.09863671,6.25E-05,0.003625016,0.21209492,0.23583765,0.3049363
977.1239951_-3107.857618,0.00213894,0.00373993,8.97E-06,0.001668109,0.07908485,0.64588225,0.26747698
1034.7852465_-2769.457843,0.010980759,0.0524269,4.14E-05,0.012032156,0.2266377,0.34626624,0.3516148
1034.7852465_-2869.457843,0.022393646,0.034356635,4.27E-05,0.018386882,0.11245453,0.496854,0.31551158
1034.7852465_-2969.457843,0.00094384,0.014101783,1.53E-05,0.003326091,0.13071492,0.54126155,0.30963656
1034.7852465_-3069.457843,0.00258797,0.009384375,1.68E-05,0.004097451,0.10746101,0.5652495,0.31120285
1034.7852465_-3169.457843,0.001269451,0.014428951,9.54E-06,0.008344299,0.1641333,0.40246153,0.40935287
1034.7852465_-3269.457843,0.00167437,0.012016113,3.04E-05,0.006929502,0.21848297,0.26902583,0.49184084
1034.7852465_-3369.457843,0.000996328,0.01171246,1.33E-05,0.005374795,0.16280888,0.48115867,0.3379356
1034.7852465_-3469.457843,0.005064116,0.019608507,5.32E-05,0.011180833,0.12764491,0.4472299,0.38921854
1034.7852465_-3569.457843,0.022560561,0.05512439,0.000145273,0.015657023,0.19617544,0.33601856,0.37431875
1034.7852465_-3669.457843,0.023397245,0.06852431,3.39E-05,0.012595817,0.26472783,0.2741438,0.3565772
1034.7852465_-3769.457843,0.001688877,0.008902383,2.18E-05,0.007904096,0.18391003,0.39754412,0.40002868
1034.7852465_-3869.457843,0.015910707,0.049990855,6.39E-05,0.010513768,0.23367818,0.28361365,0.40622887
1034.7852465_-3969.457843,0.004747754,0.033521764,4.27E-05,0.00768924,0.19258162,0.3250132,0.43640372
1034.7852465_-4069.457843,0.01058967,0.043102294,4.44E-05,0.012782936,0.16865604,0.4522086,0.31261596
1034.7852465_-4169.457843,0.003839998,0.011408004,0.000149366,0.005916284,0.20857538,0.35044593,0.41966504
1034.7852465_-4269.457843,0.071584366,0.0570723,7.85E-05,0.005819407,0.20749909,0.34948492,0.30846152
1134.7852465_-2769.457843,0.016281541,0.014814503,1.71E-05,0.004723728,0.15762979,0.46363565,0.34289774
1134.7852465_-2869.457843,0.002568283,0.005037581,1.13E-05,0.002150998,0.19216847,0.4345854,0.36347806
1134.7852465_-2969.457843,0.007071767,0.03334406,1.84E-05,0.005637166,0.0889349,0.60651445,0.25847918
1134.7852465_-3069.457843,0.014434961,0.03169579,5.44E-05,0.005213006,0.06876656,0.58519953,0.29463577
1134.7852465_-3169.457843,0.003237559,0.015910223,1.67E-05,0.013794238,0.11225826,0.43594137,0.41884157
1134.7852465_-3269.457843,0.002254948,0.018295262,1.35E-05,0.011981964,0.122067995,0.40496343,0.4404229
1134.7852465_-3369.457843,0.002623628,0.014586922,9.89E-06,0.006989603,0.08963387,0.55938137,0.32677472
1134.7852465_-3469.457843,0.004697576,0.041325465,2.50E-05,0.017315516,0.20015384,0.36316943,0.37331316
1134.7852465_-3569.457843,0.004333302,0.003368079,5.48E-05,0.003817956,0.1822598,0.38686112,0.41930494
1134.7852465_-3669.457843,0.021509197,0.001845118,0.00032467,0.002216159,0.23018037,0.29816863,0.44575584
1134.7852465_-3769.457843,0.016158825,0.037055876,7.05E-05,0.020958235,0.20102826,0.3427953,0.3819329
1134.7852465_-3869.457843,0.040734008,0.048053198,0.000403991,0.016065504,0.16952822,0.3770722,0.3481429
1134.7852465_-3969.457843,0.013177223,0.03268927,9.55E-05,0.012350033,0.10155047,0.4859197,0.35421795
1134.7852465_-4069.457843,0.002850986,0.017388351,3.47E-05,0.00755967,0.13778591,0.49743575,0.3369448
1134.7852465_-4169.457843,0.009891966,0.021494942,0.000159932,0.005609298,0.16156237,0.43519798,0.36608353
1134.7852465_-4269.457843,0.40750825,0.15949452,0.000272716,0.021174785,0.081300765,0.11630551,0.21394357
1234.7852465_-2769.457843,0.032479305,0.009286809,2.48E-05,0.003213115,0.077808216,0.7115726,0.1656152
1234.7852465_-2869.457843,0.003989894,0.026780883,9.94E-06,0.008414345,0.20059988,0.40649158,0.3537134
1234.7852465_-2969.457843,0.001996195,0.016323023,1.28E-05,0.005904158,0.10761029,0.5315441,0.33660942
1234.7852465_-3069.457843,0.002484518,0.012817538,1.11E-05,0.001778953,0.05746774,0.6024884,0.32295185
1234.7852465_-3169.457843,0.013143711,0.002860146,9.60E-05,0.004914259,0.05565805,0.55179256,0.37153524
1234.7852465_-3269.457843,0.003267849,0.026567554,1.80E-05,0.008741512,0.12899113,0.43683478,0.39557928
1234.7852465_-3369.457843,0.003526835,0.013920926,2.45E-05,0.008212226,0.16283958,0.38086262,0.4306133
1234.7852465_-3469.457843,0.005700436,0.019275539,6.74E-05,0.006928359,0.23074888,0.4203683,0.3169111
1234.7852465_-3569.457843,0.02802553,0.14845356,0.000130652,0.018658966,0.2902138,0.13950683,0.3750107
1234.7852465_-3669.457843,0.001791713,0.018259726,7.73E-06,0.013285467,0.1636004,0.4072595,0.39579543
1234.7852465_-3769.457843,0.004555154,0.013777869,3.15E-05,0.008443603,0.09507066,0.554322,0.32379916
1234.7852465_-3869.457843,0.003916317,0.007460251,2.21E-05,0.004675688,0.07045466,0.61976427,0.29370666
1234.7852465_-3969.457843,0.003901739,0.025422856,1.19E-05,0.01195412,0.16723593,0.3923812,0.3990923
1234.7852465_-4069.457843,0.01162807,0.033730336,2.46E-05,0.011030306,0.1421829,0.45839474,0.343009
1234.7852465_-4169.457843,0.006016348,0.02680692,1.79E-05,0.006789208,0.17523615,0.43541384,0.34971955
1234.7852465_-4269.457843,0.27634934,0.062475976,0.000128671,0.023020508,0.23544323,0.13652004,0.26606226
