,cell_ID,OD,Microglia,Endothelial,Astrocyte,Inhibitory,Excitatory
2277.1239951_-2107.857618,2277.1239951_-2107.857618,0,0,0,1,0,2.37E-18
2277.1239951_-2207.857618,2277.1239951_-2207.857618,0,0.41337262,0,0,0.58662738,0
2277.1239951_-2307.857618,2277.1239951_-2307.857618,0,0.096934281,0,0,0,0.903065719
2277.1239951_-2407.857618,2277.1239951_-2407.857618,0,0,0,0.793242638,0.206757362,0
2277.1239951_-2507.857618,2277.1239951_-2507.857618,0,0,0,0,0.462796152,0.537203848
2277.1239951_-2607.857618,2277.1239951_-2607.857618,0,0.077150636,0,0,0.922849364,0
2277.1239951_-2707.857618,2277.1239951_-2707.857618,0,0.08965362,0,0,0.91034638,0
2277.1239951_-2807.857618,2277.1239951_-2807.857618,0,0.43613782,0,0,0.56386218,0
2277.1239951_-2907.857618,2277.1239951_-2907.857618,0.430183137,0,0,0,0.569816863,0
2277.1239951_-3007.857618,2277.1239951_-3007.857618,0.130274576,0,0,0,0.869725424,0
2277.1239951_-3107.857618,2277.1239951_-3107.857618,0,0,0,0,1,0
2377.1239951_-1607.857618,2377.1239951_-1607.857618,0,0,0,1,0,0
2377.1239951_-1707.857618,2377.1239951_-1707.857618,0,0,0,0,1,0
2377.1239951_-1807.857618,2377.1239951_-1807.857618,0,0,0,1,0,0
2377.1239951_-1907.857618,2377.1239951_-1907.857618,0,0,0.57871656,0,0.42128344,0
2377.1239951_-2007.857618,2377.1239951_-2007.857618,0,0.264441583,0,0,0.735558417,0
2377.1239951_-2107.857618,2377.1239951_-2107.857618,0,0,0.781209835,0,0.218790165,0
2377.1239951_-2207.857618,2377.1239951_-2207.857618,0,0.228851637,0,0,0.771148363,0
2377.1239951_-2307.857618,2377.1239951_-2307.857618,0.785612937,0,0,0,0.214387063,0
2377.1239951_-2407.857618,2377.1239951_-2407.857618,0.718302009,0,0,0,0.281697991,0
2377.1239951_-2507.857618,2377.1239951_-2507.857618,0,0.335369802,0,0,0.664630198,0
2377.1239951_-2607.857618,2377.1239951_-2607.857618,0,0.000118566,0.999868518,1.29E-05,0,0
2377.1239951_-2707.857618,2377.1239951_-2707.857618,0,0,0,0.471424277,0.528575723,0
2377.1239951_-2807.857618,2377.1239951_-2807.857618,0,0,1,0,0,0
2377.1239951_-2907.857618,2377.1239951_-2907.857618,0.10719753,0,0,0,0.89280247,0
2377.1239951_-3007.857618,2377.1239951_-3007.857618,0,0,0,0,1,0
2377.1239951_-3107.857618,2377.1239951_-3107.857618,0,0,0,0,1,0
877.1239951_-1607.857618,877.1239951_-1607.857618,0,0,0,0.78920469,0.21079531,0
877.1239951_-1707.857618,877.1239951_-1707.857618,0,0,0.781220959,0,0.218779041,0
877.1239951_-1807.857618,877.1239951_-1807.857618,0,0,0,0,1,0
877.1239951_-1907.857618,877.1239951_-1907.857618,0,0.297709122,0,0,0.702290878,0
877.1239951_-2007.857618,877.1239951_-2007.857618,0,0.7529486,0,0,0.2470514,0
877.1239951_-2107.857618,877.1239951_-2107.857618,0.46473127,0,0,0,0.53526873,0
877.1239951_-2207.857618,877.1239951_-2207.857618,0,0,1,0,0,0
877.1239951_-2307.857618,877.1239951_-2307.857618,0,0,0,0.999880176,0.000119824,0
877.1239951_-2407.857618,877.1239951_-2407.857618,0,0.832036239,0,0,0,0.167963761
877.1239951_-2507.857618,877.1239951_-2507.857618,0,0,0,1,0,0
877.1239951_-2607.857618,877.1239951_-2607.857618,0,0.203633764,0,0,0.796366236,0
877.1239951_-2707.857618,877.1239951_-2707.857618,0.113446614,0,0,0,0.886553386,0
877.1239951_-2807.857618,877.1239951_-2807.857618,0,0,0,0,1,0
877.1239951_-2907.857618,877.1239951_-2907.857618,0,0.509096802,0,0,0.490903198,0
877.1239951_-3007.857618,877.1239951_-3007.857618,0,0,0,0,1,0
877.1239951_-3107.857618,877.1239951_-3107.857618,0,0.936303515,0,0,0.063696485,0
977.1239951_-1607.857618,977.1239951_-1607.857618,0,0,0,0.371395546,0,0.628604454
977.1239951_-1707.857618,977.1239951_-1707.857618,0,0,0,1,0,0
977.1239951_-1807.857618,977.1239951_-1807.857618,0,0,0,1,0,0
977.1239951_-1907.857618,977.1239951_-1907.857618,0,0,0,0,1,0
977.1239951_-2007.857618,977.1239951_-2007.857618,0.612929625,0,0,0,0.387070375,0
977.1239951_-2107.857618,977.1239951_-2107.857618,0,0.378404561,0,0,0.621595439,0
977.1239951_-2207.857618,977.1239951_-2207.857618,0,0,0,0,0.638389869,0.361610131
977.1239951_-2307.857618,977.1239951_-2307.857618,0,0.445825323,0,0,0.554174677,0
977.1239951_-2407.857618,977.1239951_-2407.857618,0,0,1,0,0,0
977.1239951_-2507.857618,977.1239951_-2507.857618,0,0.542470038,0,0,0.457529962,0
977.1239951_-2607.857618,977.1239951_-2607.857618,0,0,0.735625642,0,0.264374358,0
977.1239951_-2707.857618,977.1239951_-2707.857618,0,0.044184197,0,0,0.955815803,0
977.1239951_-2807.857618,977.1239951_-2807.857618,0,0.241502099,0,0,0.758497901,0
977.1239951_-2907.857618,977.1239951_-2907.857618,0,0,1,0,0,0
977.1239951_-3007.857618,977.1239951_-3007.857618,0,0,0,0,1,0
977.1239951_-3107.857618,977.1239951_-3107.857618,0,0.455996156,0,0,0.544003844,0
1034.7852465_-2769.457843,1034.7852465_-2769.457843,0,0,0,0.804436785,0.195563215,0
1034.7852465_-2869.457843,1034.7852465_-2869.457843,0,0,0,0,1,0
1034.7852465_-2969.457843,1034.7852465_-2969.457843,0,0,0,0.47861286,0.52138714,0
1034.7852465_-3069.457843,1034.7852465_-3069.457843,0,0,1,0,0,0
1034.7852465_-3169.457843,1034.7852465_-3169.457843,0,0.147865572,0,0,0,0.852134428
1034.7852465_-3269.457843,1034.7852465_-3269.457843,0,0.000102086,0,0.999897914,0,0
1034.7852465_-3369.457843,1034.7852465_-3369.457843,0,0,0,0.642807848,0.357192152,0
1034.7852465_-3469.457843,1034.7852465_-3469.457843,0,0.415898198,0,0,0.584101802,0
1034.7852465_-3569.457843,1034.7852465_-3569.457843,0,0,0,0.782352823,0.217647177,0
1034.7852465_-3669.457843,1034.7852465_-3669.457843,0,0,0,0.711998179,0.288001821,0
1034.7852465_-3769.457843,1034.7852465_-3769.457843,0,0,0,1,0,0
1034.7852465_-3869.457843,1034.7852465_-3869.457843,0,0,0,0,0,1
1034.7852465_-3969.457843,1034.7852465_-3969.457843,0,0,0,0.542934475,0,0.457065525
1034.7852465_-4069.457843,1034.7852465_-4069.457843,0,0,0,0,1,0
1034.7852465_-4169.457843,1034.7852465_-4169.457843,0,0,0,1,0,0
1034.7852465_-4269.457843,1034.7852465_-4269.457843,0,0,0,0,1,0
1134.7852465_-2769.457843,1134.7852465_-2769.457843,0,0.694898643,0,0,0.305101357,0
1134.7852465_-2869.457843,1134.7852465_-2869.457843,0,0,0,1,0,0
1134.7852465_-2969.457843,1134.7852465_-2969.457843,0,0.298813523,0,0,0.701186477,0
1134.7852465_-3069.457843,1134.7852465_-3069.457843,0,0.255106734,0,0,0.744893266,0
1134.7852465_-3169.457843,1134.7852465_-3169.457843,0,0.208350793,0,0,0.791649207,0
1134.7852465_-3269.457843,1134.7852465_-3269.457843,0.333577682,0,0,0,0.666422318,0
1134.7852465_-3369.457843,1134.7852465_-3369.457843,0,0.374941679,0,0,0.625058321,0
1134.7852465_-3469.457843,1134.7852465_-3469.457843,0.074712883,0,0,0,0.925287117,0
1134.7852465_-3569.457843,1134.7852465_-3569.457843,0,0,1,0,0,0
1134.7852465_-3669.457843,1134.7852465_-3669.457843,0,0,0.980049859,0.019950141,0,0
1134.7852465_-3769.457843,1134.7852465_-3769.457843,0,0,1,0,0,0
1134.7852465_-3869.457843,1134.7852465_-3869.457843,0,0,1,0,0,0
1134.7852465_-3969.457843,1134.7852465_-3969.457843,0,0.366031151,0,0,0.633968849,0
1134.7852465_-4069.457843,1134.7852465_-4069.457843,0.140974219,0,0,0,0.859025781,0
1134.7852465_-4169.457843,1134.7852465_-4169.457843,0,0,0,0.958634729,0,0.041365271
1134.7852465_-4269.457843,1134.7852465_-4269.457843,0,0,0,0,1,0
1234.7852465_-2769.457843,1234.7852465_-2769.457843,0.562986294,0,0,0,0.437013706,0
1234.7852465_-2869.457843,1234.7852465_-2869.457843,0,0,0,0.963569534,0.036430466,0
1234.7852465_-2969.457843,1234.7852465_-2969.457843,0.320865249,0,0,0,0.679134751,0
1234.7852465_-3069.457843,1234.7852465_-3069.457843,0,0.081953659,0,0,0.918046341,0
1234.7852465_-3169.457843,1234.7852465_-3169.457843,0,0.333436867,0,0,0.666563133,0
1234.7852465_-3269.457843,1234.7852465_-3269.457843,0,0.270649298,0,0,0.729350702,0
1234.7852465_-3369.457843,1234.7852465_-3369.457843,0.277094408,0,0,0,0.722905592,0
1234.7852465_-3469.457843,1234.7852465_-3469.457843,0,0,0,0,0,1
1234.7852465_-3569.457843,1234.7852465_-3569.457843,0,0,0,0,0,1
1234.7852465_-3669.457843,1234.7852465_-3669.457843,0,0,0.547192054,0,0.452807946,0
1234.7852465_-3769.457843,1234.7852465_-3769.457843,0,0.520930054,0,0,0.479069946,0
1234.7852465_-3869.457843,1234.7852465_-3869.457843,0,0,0.665550716,0,0.334449284,0
1234.7852465_-3969.457843,1234.7852465_-3969.457843,0,0,0,0.586070987,0,0.413929013
1234.7852465_-4069.457843,1234.7852465_-4069.457843,0,0.134756586,0,0,0.865243414,0
1234.7852465_-4169.457843,1234.7852465_-4169.457843,0,0,0,0,1,0
1234.7852465_-4269.457843,1234.7852465_-4269.457843,0,0,0,0.187468746,0.812531254,0
1334.7852465_-2769.457843,1334.7852465_-2769.457843,0,0,0,1,0,0
1334.7852465_-2869.457843,1334.7852465_-2869.457843,0,0,0,1,0,0
1334.7852465_-2969.457843,1334.7852465_-2969.457843,0,0.142889528,0,0,0.857110472,0
1334.7852465_-3069.457843,1334.7852465_-3069.457843,0,0,0,0,1,0
1334.7852465_-3169.457843,1334.7852465_-3169.457843,0,0,0,0,1,0
1334.7852465_-3269.457843,1334.7852465_-3269.457843,0,0.329826712,0,0,0.670173288,0
1334.7852465_-3369.457843,1334.7852465_-3369.457843,0,0,0.8565708,0,0.1434292,0
1334.7852465_-3469.457843,1334.7852465_-3469.457843,0.154281663,0,0,0,0.845718337,0
1334.7852465_-3569.457843,1334.7852465_-3569.457843,0,0,1,0,0,0
1334.7852465_-3669.457843,1334.7852465_-3669.457843,0,0.093893265,0,0,0.906106735,0
1334.7852465_-3769.457843,1334.7852465_-3769.457843,0.284460145,0,0,0,0.715539855,0
1334.7852465_-3869.457843,1334.7852465_-3869.457843,0,0,1,0,0,0
1334.7852465_-3969.457843,1334.7852465_-3969.457843,0,0,0,0.481455781,0.518544219,0
1334.7852465_-4069.457843,1334.7852465_-4069.457843,0,0,1,0,0,0
1334.7852465_-4169.457843,1334.7852465_-4169.457843,0,0,0,0,1,0
1334.7852465_-4269.457843,1334.7852465_-4269.457843,0,0,0,0,1,0
1434.7852465_-2769.457843,1434.7852465_-2769.457843,0,0,0,1,0,0
1434.7852465_-2869.457843,1434.7852465_-2869.457843,0,0,0,1,0,0
1434.7852465_-2969.457843,1434.7852465_-2969.457843,0,0.023319815,0,0,0.976680185,0
1434.7852465_-3069.457843,1434.7852465_-3069.457843,0,0.195570648,0,0,0.804429352,0
1434.7852465_-3169.457843,1434.7852465_-3169.457843,0,0,0.502899124,0,0.497100876,0
1434.7852465_-3269.457843,1434.7852465_-3269.457843,0,0,0.782313543,0,0.217686457,0
1434.7852465_-3369.457843,1434.7852465_-3369.457843,0,0,0,1,0,0
1434.7852465_-3469.457843,1434.7852465_-3469.457843,0,0,0,1,0,0
1434.7852465_-3569.457843,1434.7852465_-3569.457843,0,0.398828186,0,0,0.601171814,0
1434.7852465_-3669.457843,1434.7852465_-3669.457843,0,0.236446027,0,0,0.763553973,0
1434.7852465_-3769.457843,1434.7852465_-3769.457843,0,0.463925386,0,0,0,0.536074614
1434.7852465_-3869.457843,1434.7852465_-3869.457843,0,0,0,0,1,0
1434.7852465_-3969.457843,1434.7852465_-3969.457843,0,0,1,0,0,0
1434.7852465_-4069.457843,1434.7852465_-4069.457843,0,0.526962959,0,0,0.473037041,0
1434.7852465_-4169.457843,1434.7852465_-4169.457843,0.060902204,0,0,0,0.939097796,0
1434.7852465_-4269.457843,1434.7852465_-4269.457843,0,0,0,0,1,0
1534.7852465_-2769.457843,1534.7852465_-2769.457843,0,0,0,1,0,0
1534.7852465_-2869.457843,1534.7852465_-2869.457843,0,0,0,1,0,0
1534.7852465_-2969.457843,1534.7852465_-2969.457843,0,0,0,0.9262347,0.0737653,0
1534.7852465_-3069.457843,1534.7852465_-3069.457843,0,0,0,0,1,0
1534.7852465_-3169.457843,1534.7852465_-3169.457843,0,0.512922286,0,0,0.487077714,0
1534.7852465_-3269.457843,1534.7852465_-3269.457843,0,0,0.534266758,0,0.465733242,0
1534.7852465_-3369.457843,1534.7852465_-3369.457843,0,0.737564378,0,0,0.262435622,0
1534.7852465_-3469.457843,1534.7852465_-3469.457843,0,0.369022913,0,0,0.630977087,0
1534.7852465_-3569.457843,1534.7852465_-3569.457843,0,0,1,0,0,0
1534.7852465_-3669.457843,1534.7852465_-3669.457843,0,0.598859862,0,0,0,0.401140138
1534.7852465_-3769.457843,1534.7852465_-3769.457843,0,0.168799165,0.210110337,0.106850447,0.514240052,0
1534.7852465_-3869.457843,1534.7852465_-3869.457843,0,0.339689746,0,0,0.660310254,0
1534.7852465_-3969.457843,1534.7852465_-3969.457843,0.129375279,0,0,0,0.870624721,0
1534.7852465_-4069.457843,1534.7852465_-4069.457843,0,0,0,0,1,0
1534.7852465_-4169.457843,1534.7852465_-4169.457843,0,0,0,0,1,0
1534.7852465_-4269.457843,1534.7852465_-4269.457843,0.846875026,0,0,0,0.153124974,0
1634.7852465_-2769.457843,1634.7852465_-2769.457843,0,0,0,1,0,0
1634.7852465_-2869.457843,1634.7852465_-2869.457843,0,0,0,1,0,0
1634.7852465_-2969.457843,1634.7852465_-2969.457843,0,0,0,1,0,0
1634.7852465_-3069.457843,1634.7852465_-3069.457843,0,0.171386258,0,0,0.828613742,0
1634.7852465_-3169.457843,1634.7852465_-3169.457843,0,0.316739452,0,0,0.683260548,0
1634.7852465_-3269.457843,1634.7852465_-3269.457843,0,0.214276647,0,0,0.785723353,0
1634.7852465_-3369.457843,1634.7852465_-3369.457843,0,0.168143588,0,0,0.831856412,0
1634.7852465_-3469.457843,1634.7852465_-3469.457843,0,0.340717499,0,0,0.659282501,0
1634.7852465_-3569.457843,1634.7852465_-3569.457843,0,0.275508593,0,0,0.724491407,0
1634.7852465_-3669.457843,1634.7852465_-3669.457843,0,0.27605957,0,0,0.72394043,0
1634.7852465_-3769.457843,1634.7852465_-3769.457843,0,0.368142062,0,0,0.631857938,0
1634.7852465_-3869.457843,1634.7852465_-3869.457843,0,0.171096425,0,0,0.828903575,0
1634.7852465_-3969.457843,1634.7852465_-3969.457843,0,0,0,0,1,0
1634.7852465_-4069.457843,1634.7852465_-4069.457843,0,0.191505138,0,0,0.808494862,0
1634.7852465_-4169.457843,1634.7852465_-4169.457843,0,0,0,0,1,0
1634.7852465_-4269.457843,1634.7852465_-4269.457843,0.180722242,0,0,0,0.819277758,0
1734.7852465_-2769.457843,1734.7852465_-2769.457843,0,0,0,1,0,0
1734.7852465_-2869.457843,1734.7852465_-2869.457843,0,0,0,1,0,0
1734.7852465_-2969.457843,1734.7852465_-2969.457843,0,0,0,1,0,0
1734.7852465_-3069.457843,1734.7852465_-3069.457843,0,0.044492562,0,0,0.955507438,0
1734.7852465_-3169.457843,1734.7852465_-3169.457843,0,0.10231789,0,0,0.89768211,0
1734.7852465_-3269.457843,1734.7852465_-3269.457843,0,0,0,0,1,0
1734.7852465_-3369.457843,1734.7852465_-3369.457843,0,0,0,0,1,0
1734.7852465_-3469.457843,1734.7852465_-3469.457843,0,0,0,0,1,0
1734.7852465_-3569.457843,1734.7852465_-3569.457843,0,0,0,0,1,0
1734.7852465_-3669.457843,1734.7852465_-3669.457843,0,0.041782573,0,0,0.958217427,0
1734.7852465_-3769.457843,1734.7852465_-3769.457843,0,0,0,0,1,0
1734.7852465_-3869.457843,1734.7852465_-3869.457843,0,0,0,0,1,0
1734.7852465_-3969.457843,1734.7852465_-3969.457843,0,0.241237943,0,0,0.758762057,0
1734.7852465_-4069.457843,1734.7852465_-4069.457843,0,0,0,0,1,0
1734.7852465_-4169.457843,1734.7852465_-4169.457843,0,0,0,0,1,0
1834.7852465_-2769.457843,1834.7852465_-2769.457843,0,0,0,1,0,0
1834.7852465_-2869.457843,1834.7852465_-2869.457843,0,0,0,1,0,0
1834.7852465_-2969.457843,1834.7852465_-2969.457843,0,0,0,1,1.30E-18,0
1834.7852465_-3069.457843,1834.7852465_-3069.457843,0,0.130001545,0,0,0.869998455,0
1834.7852465_-3169.457843,1834.7852465_-3169.457843,0,0.031002453,0,0,0.968997547,0
1834.7852465_-3269.457843,1834.7852465_-3269.457843,0,0,0,0,1,0
1834.7852465_-3369.457843,1834.7852465_-3369.457843,0,0,0.447652533,0,0.552347467,0
1834.7852465_-3469.457843,1834.7852465_-3469.457843,0,0,0,0,1,0
1834.7852465_-3569.457843,1834.7852465_-3569.457843,0,0,0,0,1,0
1834.7852465_-3669.457843,1834.7852465_-3669.457843,0,0.043458494,0,0,0.956541506,0
1834.7852465_-3769.457843,1834.7852465_-3769.457843,0,0,0,0,1,0
1834.7852465_-3869.457843,1834.7852465_-3869.457843,0,0,0,0,1,0
1834.7852465_-3969.457843,1834.7852465_-3969.457843,0.025702183,0,0,0,0.974297817,0
1834.7852465_-4069.457843,1834.7852465_-4069.457843,0,0,0,0,1,0
1834.7852465_-4169.457843,1834.7852465_-4169.457843,0,0,0,0,1,0
1834.7852465_-4269.457843,1834.7852465_-4269.457843,0,0.308387586,0,0,0.691612414,0
1934.7852465_-2769.457843,1934.7852465_-2769.457843,0,0,0,1,0,0
1934.7852465_-2869.457843,1934.7852465_-2869.457843,0,0,0,1,0,0
1934.7852465_-2969.457843,1934.7852465_-2969.457843,0,0,0,0,1,0
1934.7852465_-3069.457843,1934.7852465_-3069.457843,0,0.263839917,0,0,0.736160083,0
1934.7852465_-3169.457843,1934.7852465_-3169.457843,0,0.176570194,0,0,0.823429806,0
1934.7852465_-3269.457843,1934.7852465_-3269.457843,0,0.218418248,0,0,0.781581752,0
1934.7852465_-3369.457843,1934.7852465_-3369.457843,0,0,0,0,1,0
1934.7852465_-3469.457843,1934.7852465_-3469.457843,0,0,0,0,1,0
1934.7852465_-3569.457843,1934.7852465_-3569.457843,0,0.215077816,0,0,0.784922184,0
1934.7852465_-3669.457843,1934.7852465_-3669.457843,0,0,0.553043575,0,0.446956425,0
1934.7852465_-3769.457843,1934.7852465_-3769.457843,0,0.213327883,0,0,0.786672117,0
1934.7852465_-3869.457843,1934.7852465_-3869.457843,0,6.99E-05,0,0.652368856,0,0.347561282
1934.7852465_-3969.457843,1934.7852465_-3969.457843,0,0,1,0,0,0
1934.7852465_-4069.457843,1934.7852465_-4069.457843,0,0,0,0,1,0
1934.7852465_-4169.457843,1934.7852465_-4169.457843,0,0,0,0,1,0
1934.7852465_-4269.457843,1934.7852465_-4269.457843,0,0,0,0,0.538514072,0.461485928
2034.7852465_-2769.457843,2034.7852465_-2769.457843,0,0,0,1,0,0
2034.7852465_-2869.457843,2034.7852465_-2869.457843,0,0,0,1,0,0
2034.7852465_-2969.457843,2034.7852465_-2969.457843,0.375237771,0,0,0,0.624762229,0
2034.7852465_-3069.457843,2034.7852465_-3069.457843,0,0.204707742,0,0,0.795292258,0
2034.7852465_-3169.457843,2034.7852465_-3169.457843,0,0.372675257,0,0,0.627324743,0
2034.7852465_-3269.457843,2034.7852465_-3269.457843,0,0,1,0,0,0
2034.7852465_-3369.457843,2034.7852465_-3369.457843,0,0.644996504,0,0,0.355003496,0
2034.7852465_-3469.457843,2034.7852465_-3469.457843,0,0.405391385,0,0,0.594608615,0
2034.7852465_-3569.457843,2034.7852465_-3569.457843,0.294608759,0.124610409,0,0,0.580780832,0
2034.7852465_-3669.457843,2034.7852465_-3669.457843,0,0.266723762,0,0,0.733276238,0
2034.7852465_-3769.457843,2034.7852465_-3769.457843,0,0,0.900209072,0,0.099790928,0
2034.7852465_-3869.457843,2034.7852465_-3869.457843,0,0.264084758,0,0,0.735915242,0
2034.7852465_-3969.457843,2034.7852465_-3969.457843,0.315563002,0,0,0,0.684436998,0
2034.7852465_-4069.457843,2034.7852465_-4069.457843,0,0,0,0,1,0
2034.7852465_-4169.457843,2034.7852465_-4169.457843,0,0.060352508,0,0,0.939647492,0
2034.7852465_-4269.457843,2034.7852465_-4269.457843,0,0,0,0,1,0
2134.7852465_-2769.457843,2134.7852465_-2769.457843,0,0,0,1,0,0
2134.7852465_-2869.457843,2134.7852465_-2869.457843,0,0,0,1,0,3.01E-17
2134.7852465_-2969.457843,2134.7852465_-2969.457843,0,0.339210689,0,0,0.660789311,0
2134.7852465_-3069.457843,2134.7852465_-3069.457843,0,0.454750021,0,0,0.545249979,0
2134.7852465_-3169.457843,2134.7852465_-3169.457843,0,0,0,0,1,0
2134.7852465_-3269.457843,2134.7852465_-3269.457843,0,0,0,0,1,0
2134.7852465_-3369.457843,2134.7852465_-3369.457843,0,0,1,0,0,0
2134.7852465_-3469.457843,2134.7852465_-3469.457843,0,0.255419325,0,0,0.744580675,0
2134.7852465_-3569.457843,2134.7852465_-3569.457843,0,0,0.524316008,0.003150436,0.472533556,0
2134.7852465_-3669.457843,2134.7852465_-3669.457843,0,0,0,0,1,0
2134.7852465_-3769.457843,2134.7852465_-3769.457843,0,0,5.78E-06,0.950682622,0.0493116,0
2134.7852465_-3869.457843,2134.7852465_-3869.457843,0,0.360718538,0,0,0.639281462,0
2134.7852465_-3969.457843,2134.7852465_-3969.457843,0,0,0.834843716,0,0.165156284,0
2134.7852465_-4069.457843,2134.7852465_-4069.457843,0,0,0,0,1,0
2134.7852465_-4169.457843,2134.7852465_-4169.457843,0,0,0,0,1,0
2134.7852465_-4269.457843,2134.7852465_-4269.457843,0,0,0,0,1,0
2234.7852465_-2769.457843,2234.7852465_-2769.457843,0,0,0,1,0,0
2234.7852465_-2869.457843,2234.7852465_-2869.457843,0,0,0,1,0,0
2234.7852465_-2969.457843,2234.7852465_-2969.457843,0,0.410292813,0,0,0.589707187,0
2234.7852465_-3069.457843,2234.7852465_-3069.457843,0,0,1,0,0,0
2234.7852465_-3169.457843,2234.7852465_-3169.457843,0,0,0.815916625,0,0.184083375,0
2234.7852465_-3269.457843,2234.7852465_-3269.457843,0,0,0,0,1,0
2234.7852465_-3369.457843,2234.7852465_-3369.457843,0,0.289204851,0,0,0.710795149,0
2234.7852465_-3469.457843,2234.7852465_-3469.457843,0.03704059,0,0,0,0.96295941,0
2234.7852465_-3569.457843,2234.7852465_-3569.457843,0,0,0.454320539,0,0.545679461,0
2234.7852465_-3669.457843,2234.7852465_-3669.457843,0,0.022935787,0,0,0.977064213,0
2234.7852465_-3769.457843,2234.7852465_-3769.457843,0,0,0,1,0,0
2234.7852465_-3869.457843,2234.7852465_-3869.457843,0,0,0.580146426,0,0.419853574,0
2234.7852465_-3969.457843,2234.7852465_-3969.457843,1.98E-18,0,0,0,1,0
2234.7852465_-4069.457843,2234.7852465_-4069.457843,0,0.232487787,0,0,0.767512213,0
2234.7852465_-4169.457843,2234.7852465_-4169.457843,0,0,0,0,1,0
2234.7852465_-4269.457843,2234.7852465_-4269.457843,0,0,0,0,1,0
2334.7852465_-2769.457843,2334.7852465_-2769.457843,0,0,0,1,0,0
2334.7852465_-2869.457843,2334.7852465_-2869.457843,0,0,0,0.719465259,0.280534741,0
2334.7852465_-2969.457843,2334.7852465_-2969.457843,0.237287717,0,0,0,0.762712283,0
2334.7852465_-3069.457843,2334.7852465_-3069.457843,0,0.07613457,0,0,0.92386543,0
2334.7852465_-3169.457843,2334.7852465_-3169.457843,0,0,0,0,1,0
2334.7852465_-3269.457843,2334.7852465_-3269.457843,0,0.224858313,0,0,0.775141687,0
2334.7852465_-3369.457843,2334.7852465_-3369.457843,0,0.42628261,0,0,0.57371739,0
2334.7852465_-3469.457843,2334.7852465_-3469.457843,0,0,1,0,0,0
2334.7852465_-3569.457843,2334.7852465_-3569.457843,0,0,0.832702169,0,0.167297831,0
2334.7852465_-3669.457843,2334.7852465_-3669.457843,0,0,1,0,0,0
2334.7852465_-3769.457843,2334.7852465_-3769.457843,0,0.721003975,0,0,0.278996025,0
2334.7852465_-3869.457843,2334.7852465_-3869.457843,0,0,0.632548705,0,0.367451295,0
2334.7852465_-3969.457843,2334.7852465_-3969.457843,0,0,1,0,0,0
2334.7852465_-4069.457843,2334.7852465_-4069.457843,0,0,0,0,1,0
2334.7852465_-4169.457843,2334.7852465_-4169.457843,0,0,0,0.412213104,0.587786896,0
2334.7852465_-4269.457843,2334.7852465_-4269.457843,0,0,0,0,1,0
2434.7852465_-2769.457843,2434.7852465_-2769.457843,0,0,0,1,0,0
2434.7852465_-2869.457843,2434.7852465_-2869.457843,0,0,0,0,1,0
2434.7852465_-2969.457843,2434.7852465_-2969.457843,0,0,0,0.34687954,0.65312046,0
2434.7852465_-3069.457843,2434.7852465_-3069.457843,0,0.333200328,0,0,0.666799672,0
2434.7852465_-3169.457843,2434.7852465_-3169.457843,0,0.706932959,0,0,0,0.293067041
2434.7852465_-3269.457843,2434.7852465_-3269.457843,0,0,1,0,0,0
2434.7852465_-3369.457843,2434.7852465_-3369.457843,0,0,0.712360429,0,0.287639571,0
2434.7852465_-3469.457843,2434.7852465_-3469.457843,0,0.376097946,0,0,0.623902054,0
2434.7852465_-3569.457843,2434.7852465_-3569.457843,0,0,0,1,0,0
2434.7852465_-3669.457843,2434.7852465_-3669.457843,0,0,0,0.295273125,0,0.704726875
2434.7852465_-3769.457843,2434.7852465_-3769.457843,0,0,0,1,0,0
2434.7852465_-3869.457843,2434.7852465_-3869.457843,0,0,1,0,0,0
2434.7852465_-3969.457843,2434.7852465_-3969.457843,0,0,0.962108489,0.037891511,0,0
2434.7852465_-4069.457843,2434.7852465_-4069.457843,0,0,0,0,0,1
2434.7852465_-4169.457843,2434.7852465_-4169.457843,0,0,0,0,1,0
2434.7852465_-4269.457843,2434.7852465_-4269.457843,0,0,0,0,1,0
2534.7852465_-2769.457843,2534.7852465_-2769.457843,0,0,0,0.904414228,0.095585772,0
2534.7852465_-2869.457843,2534.7852465_-2869.457843,0,0,0.668357936,0,0.331642064,0
2534.7852465_-2969.457843,2534.7852465_-2969.457843,0,0,0.596867474,0,0.403132526,0
2534.7852465_-3069.457843,2534.7852465_-3069.457843,0,0.376812243,0,0,0.623187757,0
2534.7852465_-3169.457843,2534.7852465_-3169.457843,0,0.591608312,0,0,0.408391688,0
2534.7852465_-3269.457843,2534.7852465_-3269.457843,0,0.826670369,0,0,0.173329631,0
2534.7852465_-3369.457843,2534.7852465_-3369.457843,0,0,1,0,0,0
2534.7852465_-3469.457843,2534.7852465_-3469.457843,0,0,0,0.60099825,0,0.39900175
2534.7852465_-3569.457843,2534.7852465_-3569.457843,0,0,0,0,1,0
2534.7852465_-3669.457843,2534.7852465_-3669.457843,0,0,1,0,0,0
2534.7852465_-3769.457843,2534.7852465_-3769.457843,0,0,0,1,0,0
2534.7852465_-3869.457843,2534.7852465_-3869.457843,0,0,0,0.954785439,0.045214561,0
2534.7852465_-3969.457843,2534.7852465_-3969.457843,0,0,0,0.782198112,0.217801888,0
2534.7852465_-4069.457843,2534.7852465_-4069.457843,0,0,0.271855799,0.728120766,2.34E-05,0
2534.7852465_-4169.457843,2534.7852465_-4169.457843,0,0,0,0,1,0
